English	Field	Amharic 
reactance	Em	ምልስታ
reactance	Em	ያዛግድ
reactance	Py	ግስበት
reactant	Ch	ተፀግባሪ
reaction	Ch	አፀግብሮት
reaction	Em	ፍጭ፟ት
reaction	Me	የስሜት መልስ (አፀፋ)
reaction	py	አፀፋ ግብር (ግስበት)
reaction in magma	Gl	ቅላጭ ድንጋይ ብልልት
ractionrim	Gl	ብልል ጠርዝ
reactive	Ch	አፀግባሪ
reactive	Py	አፀፋ ግብራዊ (ግስበታዊ
reactive force	Py	አፀፋ ግብራዊ ሃይል (ግስበታዊ ሃይል)
reactive power	Em	ሰነፍ ጉልበት
reactiveity	Ch	አፀግባሪነት
reactor	Ch	ማፀግበሪያ
reactor	Py	ሪአክተር
read & write memory	Em	አንባቢ-ፀሐፊ አስታውሴ
read only memory	Em	አንባቢ አስታውሴ
reagent	Ch	አዋሃጅ
real	Py	እውነተኛ
real axis	Ma	ነባር አክሲስ
real gas (non-ideal gas)	Ch	እውናዊ ጋዝ
real image	Py	እውነተኛ ምስያ
real income	Gg	ጭብጥ ገቢ
realm	Bt	ሪም
real number	Ma	ነባር ቁጥር
real object	Py	እውነታዊ ነገር
real part of complex number	Ma	የድርብ ቁጥር ነባር ምንዝር
real solution	Ch	እውናዊ ሙሙት
reamer	Em	መጥረጊያ
rearrangement	Ch	ዝውርውርታ
Reason (n)	Ma	አመክንዮ
Reason (v)	Ma	ማመክንየት/ማመክኘት/
reasoning	ma	አመክንዮት
rebound	Py	መላጋት
recapitulation	Zo	ድጋም
receiver	Ch	ተቀባይ
receiver	Py	ተቀባይ
recent(epoch)	Gg	ቅርብ /ክፍለ ወቅት/
receptacle	Ag	ጽጌ መንበር
receptacle	Bt	ጽጌ መንበር
reception	Py	ቅብለት
receptor	Zo	ተቀባይ
receptor organ	Zo	ተቀባይ አካል
recessional moraine	Gl	በረዶ ምልስ ክምችት
recessive (gene)	Ag	ድኩም/ስረት/
recessive	Me	ተጓዥ
recessive(gene)	Zo	ተጎልባች/በራሂ/
recharge (of ground water)	Gg	ማቋት /የምድሩ ስጥ ውሃ/
recharge	Gl	ዳግም ሙሊት
Recipe	Nu	አለካክ
Recipient	Me	ተቀባይ
reciprocal	Py	ተገላቢጦሽ
Reciprocating (Engine)	Em	ተዘናዛኝ /ሞተር/
recoil	py	መርገጥ
recoiless	py	አይራገጤ
recombinant	Zo	ብውዝ
recombination	py	ድግመንዳ
recombination	zo	ብውዝ
recorder	ch	መዝጋቢ
recorder	py	መዝጋቢ
recording instrument	ch	መመዝገቢያ መሳሪያ
recrudescence	me	አገርሺ
recrystallization	ch	ድግመቡረላ
recrystallization	Gl	ዳግም ፍጥረተክርስታል
recrystallize (to)	ch	ድግመ ማብራል
recrystallized	ch	ዳግም ቡርል
rectangle	ma	ቀጤ ጎነ አራት
rectangular drainage	Gl	አራት ማዕዘናዊ ውሃ ደረሰ
rectification	em	ቅኔት
rectification	py	ቅኝታ
rectifier	py	አቃኚ
rectify(v)	py	ማቃናት
rectilinear	py	ቀጠመስመር
rectilinear motion	py	ቀጠመስመራዊ እንቅስቃሴ
rectilinear propagation of light	py	የብርሃን ቀጠመስመራዊ ንዛት
rectum	Ag	ሬብ
rectum	me	ሽለላንጀት
rectum	zo	ቋ ተኩስ
rectus	me	ርትአዊ/ጡንቻ/
recumbent fold	Gl	ጋድሚያ እጥፋት
recuperation	me	ማገገም
recuperator	Em	ሙቀት አዳኝ
recurrent	Me	ተደጋጋሚ
recycle (to)	Ch	ኡደት መድገም
recycle	py	ድግመ ኡደት
recycling	Gg	ምልልስነት
red algae	Bt	ቀይ ዋቅላሚ
red blood cell (RBC)	me	ቀይ የደምህዋስ/ቀ.ደ.ህ/
red blood cell (corpuscle) erythrocyte	zo	ቀይ ህዋስ ደም
red clay	Gg	መቀባህር ሸክሌ
red shift	Py	ቀይ ሽግሽግሸ
reduce(to)	Ch	መረደስ
reduce	Me	ማረቅ/ስብራት/
reduced mass	py	እንስ መጠነቁስ
reducer	Em	ማሳነሻ
reducible	Ma	ተከፋፋይ
reducing agent	Ch	ረዳሽ
reducing flame	ch	ረዳሽ ነበልባል
reducing power	Bc	ድምቀት ቀናሽ
reduction	Ch	ርደሳ
reduction	Gl	ቅንሰተ ኦክሲጅን
reduction	py	ክውነት
reduction gears	Em	ቀናሽ ጥርሶች
Reduction potetnial	Ch	ርደሳ ክሂሎት
Reduzate	Gl	ሬዱዚት
reef	Gg	ተሬ
Reef	Gl	ሪፍ
Re-entrant	Gg	ዳግመ ግቡ
reentry	Py	ድግመ ግባት
refactory	Bc	ዛና ወይም ዛና ቤት
refactory bricks	Bc	ግለቻ ሸክላ
reference	Ch	ማጣቀሻ
reference	Py	ማጣቀሻ
reference electrode	Ch	ማጣቀሻ ኤሌክትሮድ
reference frame	Py	የማጣቀሻ መቃን
reference period	St	መነሻ ጊዜ
reference protein	Nu	ጥራተ ፕሮቲን ማነፃፀሪያ
Reference value	St	መነሻ እሴት
referred	me	ተዘዛማጅ/ስቃይ/
refine (to)	Ch	ማጣራት
refined	Ch	የጠራ
refinement of a partion	Ma	የክፍልፍል እርቅቅ
refinery	Ch	ማጣሪያ
reflectance	Py	ፅብርቆሽ
reflection	Gl	ንፀብርቅ  ፀብርቀት
reflection	py	ፅብረቃ
reflectionin a line	Ma	መስመር ጽብረቃ
reflection in a plane	ma	ጠለል ጽብረቃ
reflector	Em	አንጸባራቂ
reflector	py	ጸብራቂ
reflex	me	ቅፅብ ታጣፊ ስሜት
reflex	zo	ቅጽበት
reflex action	zo	ቅጽበታዊ ድርጊት
reflex arc	zo	አውደ ቅጽበት
reflexive relation	ma	ራስ ጠቀስ ተዛምዶ
reflexivity	ma	ራስ ጠቀስነት
reflex-more	me	ምሮ ቅጽብ ታጣፊ ስሜት
reflux(n)	ch	መለፍስ
reflex(to)	Ch	መለፈስ /ፈሳሽ መመላለስ/
reflux condenser	Ch	ለፋሽ
reforstation	Gg	ዳግም ድነና
refraction	Gl	ጉብጠት
refraction	Py	ስብረት
refractive	Py	ስብረታዊ
refractiveindex	Gl	ስብረት አመልካቸ
refractibve index	Py	የስብረት ጠቋሚ
refractometer	Ch	ሪፍራክቶሜትር
refractory	Ch	አይጋዬ
refractory(material)	Em	አይቀልጤ
refractory material	Gg	ግትሬ ስረት
refrigerant	Em	አቀዝቃዥ
refrigerate(to)	Ch	ማቀዝቀዝ
refrigeration	Ch	ቅዝቀዛ
refrigeration	Py	አብርዶ
refrigerator	Em	ማቀዝቀዣ
refrigerator	Ch	ማቀዝቀዣ
refrigerator	Py	አብራጅ
refuse	Me	የተጣሉ
regalith	Gl	ድንጋፈር
regenerate(to)	Bt	ማቀጠል
regeneration	Bt	አቀጣይነት
regeneration	Me	ቁጥቆጣ
regeneration	Zo	ቁጥቆጣ
regimen	St	ሰልፍ
regime of a river	Gg	ስልተ ወንዝ
region	Gg	ክል
region	Ma	ክልል
regional metamorphism	Gg	ክልላዊ ልውጤ /ልውጠት/
regional metamorphism	Gl	ክልል ሜታሞርፌዝም
register	Bc	አየር መጣኝ
register	Em	መዝገብ
registration system	St	ምዝገባ ስርአት
regolith	Gg	ፍርፍር ድንጋይ
regression (of plant succession)	Gg	ቆርቋዛነት/የእፅዋት ክትልትሎሽ/
regression	Gl	ምልሰት
regression	St	አማካይ ተዛምዶ
regression of the sea	Gg	ባህር ሽሽት
regular	Py	ደንባዊ
regular flower	Bt	መደበኛ አበባ
regular partition	Ma	እኩል ክፍልፍል
regular polygon	Ma	ምጥጥን ጎነ ብዙ
regular polyhedron	Ma	ምጥጥን ገጸ ብዙ
regular pyramid	Ma	ምጥጥን ፒራሚድ
regular reflection	Py	ደንባዊ ጽብረቃ
regulate	Py	መደነብ
regulated current	Py	ድንብ ዥረት
regulating cock	Ch	ማስተካከያ መዘውር
regulator	Ch	አስተካካይ
regulator	Zo	አማዛኝ
regurgitation	Zo	አፍልቆት
rehydration	Nu	ትካተ ውሃ
reinforced concrete	Bc	ብርት ቤቶን
reinforcement	Bc	ቤቶን ብረት
Re-intrant corner	Bc	ውሰጣዊ ማዕዘን
rejection region	St	ግድፈት ክልል
rejuvenated	Gg	እንስርር
rejuvenation	Gl	ታደሴ
relapsing	me	ግረሻ
relapsing fever	me	ግርሻ በሽታ
related angles	ma	ተዛማጅ ዘዌዎች
relation	ma	ተዛምዶ
relation	Py	ተዛምዶ
relative cumulative frequency	St	አንጸጻራዊ ድምር ድግግም
relative density	Py	ንፅፅራዊ እፍጋት
relative extremum(local extremum	Ma	አንጻራዊ ልቆሽ /ክልላዊ ልቆሽ/
relative extremum points(local extremum)	Ma	አንጻራዊ ልቆሽ ነጥብ /ክልላዊ ልቆሽ ነጥብ
relative frequency	St	አንጻራዊ ድግግም
Relative humidity	Gg	ምዝን ርጥበት /ውላ ዝለት/
relative maximum	Ma	አንጻራዊ መልዕል
relative minimum	Ma	አንጻራዊ መንእስ
relative permeability	Em	አንጻራዊ ስርገት
relative permeability	Py	ንፅፅራዊ ውንፍትነት
reltive potency	St	አንፃራዊ ሃይል
relative prime	Ma	አንፃራዊ ብቸኜ
relative velocity	Py	ንፅፅራዊ ፍጥነት
relativity	Py	ንፅፅራዊነት
relaxation	Py	ዝነት
relay	Em	አቀባባይ
relay	Py	አቀባባይ
reliability(of rainfall)	Gg	ታማኒነት/የዝንም/
relic mountian	Gg	ቅሪ ተራራ
relic sediment	Gl	ጥንተ ዝቅጤ
relict(relic)	Gl	ነባር ቁጥር
relief	Bc	ጎበዝብጥ
relief	Gg	ጉባገብ
relief	Gl	ከፍታ
relief map	Gg	አሻራ ካርታ
relief rainfall	Gg	ጉባገብ ዝንም
remainder	Ma	ቀሪ
remanence	Py	ቀሪ
remanent magnetism	Gl	ቅሪተ ማግኔት
remission	Me	ቀለልታ
remittent	Ma	አገርሺ
remote sensing	Gg	ሩቅ ጠቀሳ
renal artery	Zo	ከኩላሊታዊ ደም ወሳጅ
renal circulation	Zo	ኩላሊታዊ ዘውር
renal portal vein	Zo	ኩላሊታዊ አቀባይ ደም መላሽ
renal vein	Zo	ኩላሊታዊ ደም መላሽ
rendering	Bc	ልሰና
renewable natural resoruces	Bt	ታደዳሽ የተፈጥሮ ሃብት
renial (tubula	Me	ኩላት ቱቢቴ
renin	Nu	ሬኒን
rennin(milk)	Ag	ሀሊብ ኤንዛይም
replant	Ag	አሶጋጅ ጥገኛ
repellent	Me	ማባረሪያ
replacement	Ag	ምትክ
replacement	Ch	ቅየራ
replacement	Gl	ልውጥ
replication	Ag	ድግግሞሽ
replication	Zo	ምስለታ
representative	Ch	ወካይ
representative element	Ch	ወካይ ንጥረ-ነገር
reproducibility	Ch	ተደጋሚነት
reproducible	Ch	ተደጋሚ
reporduction	Me	መራባት
reproduction	Zo	መራቦ /መራባት/
reporduction rate	St	መውለድ ምጣኔ
reproductive age	St	ፍሬአማ እድሜ
reproductive cell	Zo	ሕዋሰ ወሊድ
reproductive isolation	Zo	ተዋልዶአዊ ልይታ
reproductive organ	Me	መራቢያ ብልት
reproductive organ	Zo	አባለ ወሊድ
reptiles	Zo	ገበሎ አስተኔዎች
repulse	Py	መገፍተር
repulsion	Em	ክሊት
repulsion	Py	ግፍትረት
research	Ch	ምርምር
resection	Me	ቆራጣ
reserve	Bt	ቀዬ
reserve	Gg	ቀዬ
reserve	Gl	ክምችት
reservoir	Bc	ሬዞርቩዋር ጠምባይ
reservoir	Gg	ማቆያ
reservior	Py	ማከማቻ
reservoir rock	Gl	ፈሳሽ አከማች ድንጋይ
residual(magnetism	Em	ቅሬታ
residual	Gl	ቅሪት
residual	Me	ቀሪ
residual	Py	ቅሪታዊ
residual boulder	Gl	ጥቅር ቋጥኝ
residual error	Bc	አይቀሬ ግድፈት
residual herbicide	Ag	ዘቃጭ ፀራረም
residual hill	Gg	ቅሪት ኮረብታ
residual regolith	Gl	ቀር ድንጋፈር
residual rediment	Gg	ዝቅጥ ደለል
residual soil	Gl	ቀር አፈር
residue	Ch	እነቃሪ
resinous	Gl	ዘቢብ መሰል
resist	Bc	መጋተር
resistance	Bc	ተጋትሮ
resistance	Em	ከላዋ
resistance	Me	መቋቋም ሃይል
resistance	Py	ሙግደት
resisitance-capacitance coupling(recoupling)	Em	ቅንጅት
resistance welding	Em	ክላዊ ብየዳ
resistant varieties	Ag	ተቋቋሚ ዘራይነቴ /ተዎች/
resistivity	Em	ከላዊነት
resistivity	Py	ሙግደትነት
resistor	Em	ከል
resistor	Py	ሞጋጅ
resistor in series	Py	ሞጋጅ በሴሪ
resolution	Ch	ንጠላ
resolution	Py	ፍተት
resolution of force	Py	የሃይል ፍተት
resolving power	Py	የፍተት አቅም
resonance	Em	አስተጋብኦ
resonance	Py	ንበት
resoruce	Gg	ጥሪት
respiration	Ag	ትንፈሳ
respliration	Bt	ትንፈሳ
respiration	Me	መተንፈስ
respiratory organ	Bt	ትንፈፋሽ አባል አካል
Respiratory organ	Zo	አባለ ትንፈሳ
Respiratory pigment	Bt	ትንፋሽ ሃመልሚል
respiratory root	Bt	ትንፋሽ ስር
respiratory system	Bt	ሰራተ መተንፈስ
respiratory system	Zo	ስርዓተ ትንፈሳ
respiratory tree	Zo	ዛፌ መተንፈሻ
respirometer	Bt	ትንፋሽ መዝግብ
response	Bt	ምላሽ
response	Me	ምላሽ
response	St	ምልሰት
response	Zo	ምላሽ
response metameter	St	ምልሰት ለውጥ
rest	Py	እርፋታ
restitution	Py	ምልሰት
restless	Me	እሚወራጭ
rest mass	Py	የእርፋታ መጠነቁስ
rest of the world sector	St	ውጪ ኢኮኖሚ ዘርፍ
restore(v)	py	መመለስ
restoring force	Py	መላሽ ሃይል
restraint	Me	መግቻ
result	Ma	ውጤት
result	Me	ውጤት
resultant force	Py	መላሽ ሃይል
resultant vector	Ma	ውጤታማ ቀስት
resultant velocity	Py	ውጤተ ፍጥነት
resuscitation	Ma	ተንሰአት
retall price index	St	ችርቻሮ ዋጋ ለውጥ አመልካች
retained placenta	Ag	ሽምቅ እትብት
retained placenta	Me	ስንግ እንግዴ ልጅ
retaining spring	Em	ገች ሞላ
retaining wall	Bc	ግፊት ከል/ግፊት ተከላከል/
retardation	Py	ዝግየት
retarder	Ch	ጎታች
retentivity	Em	ጨብጤነት
retentivity	Py	ቁረት
reticulate	Bc	ምረባ
reticulum	Ag	ዓይነተ በጎ
reticulum	Bt	ሰናስልት
reticulum	zo	ዓይነ በጎ
retina	Me	አይነ ርግብ
retina	Zo	እይታ ድራብ
retinol	Nu	ሬቲኖል
retort flask	Ch	ፍንጨ ፎሽኮ
retractor	Zo	ከታች
retreating coast	Gg	አሸግሻጊ ጠረፍ
retrogradation	Gg	ምልስነት
retrograde	Py	ዳህራይ
retrograde metamoprhism	Gl	ምልሴ ሜታሞርፌዝም
retrograde motion	Py	ዳህራይ እንቅስቃሴ
retospective study	St	መልከት ጥናት
return	Bc	ጠርዝ ጥፍ
return spring	Em	መላሽ ሞላ
reveal	Bc	ግልጤ /ተገለጠ/
reverberation	Py	አስተጋቦት
reverse(bias)	Em	ወደኋላ /አዝማሚ/
reverse	Py	መቀልበስ
reversed curve	Bc	ሄዶ መለስ ጥምዝ
reversed door	Bc	ግራ በር
reversed epoch	Gl	ቅይር ኤፖክ
reverse drainage	Gg	ምልሴ መትረብ
reverse fault	Gg	ቅልሴ ዝንፈት
reverse fault	Gl	ኢተለምዶ ስንጥቅ
reversibility	Ch	ተቀልባሽነት
reversible	Ch	ተቀልባሽ
reversible	Em	ተመላሽ
\reversible	Py	ተቀልባሽ
revetment	Bc	ልብስ
revolution (of the earth)	Gg	ዙረት/የመሬት/
revolution	Py	ዙረት
revolve	Py	መዞር
reworked alluvium	Gl	ግልት ደለል /የተንገላታ ደለል/
rheology	Gl	ስነ ፍሰት
rheostat	Py	ሪዮስታት
Rheusis factor	Me	ሬኸሰስ ፋክተር
rhinitis	Me	ኢንፍ ብግነት
rhizoid	Bt	ሰረ ፈንገስ
rhizome	Ag	ውስጠ ዘመት ግንድ
rhizome	Bt	ተቀብሮ ግንድ
rhizopus	Bt	ሪዞፐስ
Rh negative	Me	አሉታዊ ሬኸሱስ
Rh positive	me	አዎንታዊ ሬኸሱስ
rhomatic fever	Me	ቁርጥማታዊ ትኩሳት
rhombic	Ch	ሮምቢክ
rhombic antenna	Em	ሮምባይ አንቴና
rhombic sulfur	Ch	ሮምቢክ ድኝ
rhombus	Ma	ጎነ እኩል ጎነ አራት
rhyolite	Gl	ራዮሊት
rhythm	Bt	ወቅተልክ
Rhythm	Me	ስንኝ
ria	Gg	ስጥም ቃሊም
ria	Gg	ወንዛፍባርዳርቻ
ria coast	Gl	ወጋግራት/ወጋግራ/
rib(web)	Bc	ማጠንከሪያ
rib(web)	Em	ጎድን
rib	M	መሰንገል/ትግረኛ/
rib	Zo	ውግርት
ribbed	Bc	መንገድ ከተል
ribbon development	Bc	ሪቦፍላቪን
riboflavin(vitamin B3)	Nu	መካነ ፕሮቲን
ribosome	Bt	ሪኬትስያ
rice	Nu	ሩዝ
richettsia	Me	ሪኬትስያ
richter scale	Gg	ሪክተር ሚዛን
richter scale	Gl	ራክተር መለኪያ
Ricter's sacle	Py	የሪክተር እርከን
rickets	Me	ሪኬትስ
rickets	Nu	አጥንት አልፈስፍስ /ለህጻናት/
rider	Ch	ንኡስ ክብደት
rider scale	Ch	ንኡስ ትእምርተ-ክብደት
ridge	Bc	አዋዳጅ
ridge	Gg	ተረተር
ridge	Gl	ሸንተረር
ridge board	Bc	አዋዳጅ ሳንቃ
Riemann integral	Ma	ሪማን እጉር
riffler	Em	ኩርባ ሞረድ
rift	Gg	ስምጥ
rift(rift valley)	Gl	ስምጥ ሸለቆ
rift valley	Gg	ስምጥ ሸለቆ
right angle	Ma	ቀጤ ዘዌ
right ascension	Py	ቀኝ እርገት
right atrium	Zo	ቀኝ ተቀባይ ልብገንዳ
right circular cylinder	Ma	ቀጤ ክብ
right cone	Ma	ቀጤ ኮን
right cylinder	Ma	ቀጤ በርሜሎ
right hand rule	Py	የቀኝ እጅ ደንብ
right hand thread	Em	ቀኝ ጥርስ
right limit	Ma	ቀኝ ወሰን/ከላይ መድረሻ/
right prism	Ma	ቀጤ ፕሪዝም
right side	Ma	ቀኝ ወገን
right triangle	Ma	ቀጤ ጎነ ሶስት
right ventricle	Zo	ቀኝ ሰጭ ልብ ገንዳ
rigid	Bc	ድድር/ጥብቅ/
rigid	Ch	ግትር
rigid	Py	ግትር
rigid body	Py	ግትር አካል
rigidity	Ch	ግትርነት
rigidity	Me	ግትርነት
rigidity	Py	ግትርነት
rigid joint	Bc	ድድር መጋጠሚያ
rigidily fixed	Bc	ጥብቅ እስር
rigor	Me	ዝመት
rill	Gl	ቦይ ውሃ
rill erosion	Ag	ሻርደረቦ/ሽርሽርደረቦ/
rim	ch	ክፈፍ
ring	ma	ሁስሌሰብ
ring counter	Em	ቀለበትያ ቆጣሪ
Ringer's solution	Bt	ሪንገር ብጥብጥ
rign finger	Me	ቀለበት ጣት
ring gear(annulus)	Em	ቀለበት ጥርስ
ring of fire	Gg	እሳት ቀለበት
ring spanner	Em	ከባቢ መፍቻ
ring with unity	Ma	ባላሀድ ሁስሌሰብ
ring womr	Ag	ፈረሳ ቤት
ring worm	Me	አጓጉት
rinse (to)	Ch	ማለቅለቅ
rinsing	Ch	ልቅለቃ
rion lock	Bc	ተሾጋጭ ቁልፍ/ተወርዋሪ/
rip-current	Gl	ምልስ ውሃ ሞገድ
ripening	Ag	መብሰል
ripping	Bc	ስንጠቃ
ripple	Py	መሞገዲት
ripplemark	Gl	ሞገድ አሻራ
ripple tank	Py	የሞገዲት ጋን
ripsaw	Bc	ስጥጥቅ መጋዝ
rise	Bc	ቀሞሽ
risk	Me	ስጋት
risk group	Me	አስጊ ወገን
risk of dying	St	መሞት ግላጭ
river basin	Gg	ወንዝ ዋድያት
rivr capture(Piracy)	Gg	ወንዜ ጥልፈት
riverine forest	Gg	ወንዜ ጫካ
riverine vegetation	Bt	ወንዛይ እፀት
river plain	Gg	ወንዜ ሰታቶ
river port	Gg	ወንዜ ወደብ
river profile	Gg	ወንዜ ጎንያ
river terrace	Gg	ወንዜ ቆጣቆጥ
river terrace	Gl	እርከነ ወንዝ
river web	Gg	ወንዜ ድር
rivet	Bc	ተደፍጣጭ
rivet	Em	ከምሱር
rivulet	Gg	ጉላንታ
road stead	Gg	መልህቅ መጣያ
robot	Py	ሮቦት
robust test	St	ግባም ፈተና
roche moutonnee	Gl	በግ አለት
rock	Gg	አለት
rock	Gl	ድንጋይ
rock cycle	Gl	ዑደተ ድንጋይ
rocker arm	Em	መቂናጥ
rocket	Py	ሮኬት
rock fall	Gl	ናዳ
rock flour(of glacier)	Gl	ድንጋይ ድቅ/የአጎብጓቢ በረድ/
rock flour(of glacier)	Gl	ድንጋይ ዱቄት
rock glacier	Gl	ነጎድጓድ ናዳ
rock pedestal	Gg	ሽርሽር አለት
rock salt	Gl	አሞሌ ጨው
rock slide	Gl	ድንጋይ ሽርትት
rock step	Gl	እርከነ ተዳፋት
rock terrace	Gl	እርከነ ድንጋይ
rod(see axle)	Em	ዘንግ
rod(see axle)	Py	ሽመል
rod	Zo	ዘንጌ
rodent	Me	ዘራይጥ/ዘር አይጥ/
rodents	Zo	አይጥ አስተኔዎች
rogue	Ag	ምራጭ
roguing	Ag	ማግለል
roll(v)	Em	መዳመጥ
roll(v.trans.)	Py	ማንከባለል
roller bearing	Em	እንክብል ኩሽኔታ
rolling friction	Py	ክብለታዊ ሰበቃ
roll sulfur	Ch	ጥቅል ድኝ
roof	Bc	ጣራ
roof; butterfly roof	Bc	ሸለቆ ጣራ
roof; shade roof	Bc	አንድ ፈሰስ
roof; single framed roof	Bc	ወረድ ጣራ
roof; suspension roof	Bc	ውጥር ጣራ
roof; tin roof	Bc	ቆርቆሮ ክዳን
roof caping	Bc	ብርምጥጣራ
roofing frame work	Bc	አፅመጣራ
roofing tiles	Bc	ሸክላ ክዳን
room and pillar method	Gl	ክፍል ምሰሶ ዘዴ
roost	Ag	ሜጉላዶሮ-ቆጠረፍት
root	Bt	ስር
root(for thread or gear)	Em	ስር
root	Py	ዘር
root (of the teeth)	Zo	ስረ ጥርስ
root apex	Bt	ስር ጫፍ
root cap	Ag	ስርቆብ
root cap	Bt	ስር ቆብ
root crops	Ag	ስራዝመሮች /የስር አዝመራዎች
root extraction	Ma	ዘርማውጣት
root hair	Ag	ጭራ ስር
root hair	Bt	ጭገር ስር
root-mean square	Py	ካሬ መሃከለኛ ዘር
root(radical)nth	Ma	ዘር /1ኛ ዘር/
root(zero) of a polynomial	Ma	የፓሊኖሚያል አማካይ/ዜሮ
root pressure	Bt	ግፊተ ስር
root system	Ag	ስራተ ስር
root test	Ma	ዘር ፍተና
root wedging	Gg	ስር ሽብለቃ /ሸበለቀ መሀል አስገባ
rope	Em	ገመድ
rosemary	Nu	ሮዝማሪና
rosi-forel scale	Gl	ሮሲ ፎሬል መለኪያ
rotate	Py	መሽከርከር
rotating magnetic field	Em	ዟር አውደመግነጢስ
rotation	Gg	ኡደት
rotation	Ma	ሽክርክር
rotation	Py	ሽክርክርረት
rotation about a line	Ma	መስመር ሽክርክር
rotation about a point	Ma	ነጥብ ሽክርክር
rotational equilibrium	Py	ሽክርክረታዊ ተማዝኖ
rotational grazing	Ag	ፈረቃ ስምረት ፈረቃ ውርኝት
rotational motion	Py	ሽርክርረታዊ እንቅስቃሴ
rotation of crops	Gg	ኡደተ ሰብል
rotation pasture	Ag	ፈረቃ ግጦሽ መስክ
rota vapor(rotary evaporator)	Ch	ተሽከርካሪ ማትነኛ
rotor	Em	ሽክርክር
rotor	Em	ፋሪቲ
roughage	Gg	ብርእ እህል
roughage	Me	አስር
roughages	Ag	ግባስ
rough cast	Bc	ሞርታር ግርፍ
rough endoplasmic reticulum	Bt	ጥጥር ህዋስናስልት
round	Py	ክብ
round bottomed flask	Ch	ስርክብ ፋሽኮ
round ligament	Me	ክብ ምራን
rounding off	ma	ማጠቃለል
roundness	Gl	ዱልድመት
round window	Zo	ክብ መስኮት
roundworm	Zor	ዱቡልቡል ትል
routine	Em	ድመት
row	Ma	ረድፍ
row	St	ረድፍ
row lock (brick on edge)	Bc	ውርድ ቅምጥ
row of a matrix	Ma	የድርድር ረድፍ
row rank of a matrix	Ma	የድርድር ረድፋዊ ደረጃ
royal jelly	Zo	አንጋሽ ወለላ
rubber bulb	Ch	የጎማ ፊኛ
rubber crops (plant)	Ag	ጎማ ተክሎች
rubble	Bc	ኮረት
rubella	Me	የጀርመን ኩፍኝ
rubies	Gg	ሩቢ
rubra	Me	ቀይ/ደመ/አራስፍስ
ruby	Gl	ሩቢ
rudite	Gl	ሩዲት
rue	Nu	ጤና አዳም
rule	Py	ደንብ
rule of thumb	Py	የአውራ ጣት ደንብ
romen	Ag	እንጤከርስ
rumen	Zo	ጨጓራ
ruminant	Zo	አመስኮ
rumination	Ag	ማመስኳት
rump	Ag	ጀርባ ኒስ
runner	Ag	ዘማች
runner	Bt	ዳሂ እፅ
runoff(of rain)	Gg	ፍስተ-ገፅ
runoff(of rain)	Gl	ገጎራፊ
runway	Gg	ማኮብኮቢያ
rupture	Ag	መንቃት ንቅ/ነቅ/
rupture(n)	Me	መቀደድ
rust	bt	ዋግ
rusting	Ch	ዝገት
rusts	Ag	ዋጎች
Rutherfords'nuclearatom	Py	የራዘርፎርድ ኑክለራዊ አቶም
rydberg constant	Py	የሪድብርግ ኢተለዋዋጭ
sac	Me	ከረጢት
sacchroidal	Gl	ስኳር መሰል
sacculus	Zo	ተታችኛ ስልችት
sacral vertebrate	Zo	ክርክረ በዠድ
sacred basil	Nu	በሶብላ
sacrum	Me	አኒሳ
saddle(landform)	Gg	ከኮርቻማ/መሬት ቅርጽ/
saddle nose	me	አጎዶ
safety bottle	Ch	ተከላካይ ጠርሙስ
safety factor	Em	መጠባበቂያ አሀዝ
safety glass	Bc	አይጎዴ መስተዋት
safety goggle	Ch	መከላከያ መነጽር
safety valve	Ch	ማስተንፈሻ ክፍክድ
safety valve(relief valve)	Em	ማስተንፈሻ ክፍክድ
sag(to)	Bc	መርገብ
Sahel	Gg	ሳህል
salient corner	Bc	ውጭ ጠርዝ
salient pole	Em	ብቄ ዋልታ
saline	Gg	ጨውማ
saline	Me	ማየፄው
saline soil	Ag	ጨዌ መሬት
Saline soil	Bt	ጨውማፈር/ጨውማ አፈር/
salinity	Bt	ጨዋማነት
salinity	Gg	መውማነት
salinization	Bt	መጨው
salinization	Gg	ጨውታ/መጨውየት/
saliva	Ag	ምራቅ
saliva	Me	ምራቅ
saliva	Zo	ምራቅ
salivary amylase	Nu	ምራቅ አማይሌዝ
salivary gland	Zo	ምራቅ እጢ
salivary galands	Me	ምራቅ እጢ
salmonella	Me	ሰሳልሞኔላ
salmonella	Nu	ሳልሞኔላ
salon	Bc	አዳራሽ
salpingitis	Me	ማህጸን ብግነት
salpinx	me	መለከት
salt	ch	ጨው
saltation	Gl	ንጥሮሽ
salt dome	Gg	ጨው እንቁላል
salt hydrate	Ch	ውሃ አዘል ጨው
salting out	Ch	በጨው ልየታ
salt iodization	Nu	ጨው እዮዳ
salt lake	Gg	ጨው ሃይቅ
salt marsh	Gg	ጨው ፊላ
alt pans	Gg	ጨው ውድማ
salt plug	Gg	ጨዋምድ/ጨው አምድ/
salt plug	Gl	ጨውፋር
salty butter	Ag	ሆምጣጤ ቅቤ
salty marsh	Gl	ጨዋማ ረግረግ
salty water	Gl	ጨው ውሃ
sample	Bt	ናሙና
sample	Ch	ናሙና
sample(to)	Ch	መነሞን/ናሙና መውሰድ/
sample	St	ናሙና
sample applicator	Ch	መነሞኒያ
sample design	St	ናሙና ንድፍ
sampled population	St	ንሙን እክብ
